                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                0.58212,                0.59672,                 1.2147,                0.81552,                      1,                0.93281,                0.78887,                0.71628,                0.50723,                 1.5787,             0.00023098,             0.00023098,             0.00023098
                    125,                0.56029,                0.54649,                 1.1872,                0.81325,                      1,                0.93281,                0.79989,                0.70094,                0.50495,                 1.5557,             0.00022705,             0.00022705,             0.00022705
                    126,                0.55486,                0.54246,                 1.1927,                0.83842,                      1,                0.93281,                0.77502,                0.70484,                0.48083,                 1.5538,             0.00022313,             0.00022313,             0.00022313
                    127,                0.55435,                0.52329,                 1.1829,                0.87722,                      1,                0.93281,                0.79007,                0.69698,                0.47311,                 1.5344,              0.0002192,              0.0002192,              0.0002192
                    128,                0.51435,                0.48976,                 1.1231,                0.88547,                      1,                0.93281,                0.78922,                0.71395,                0.48312,                 1.5546,             0.00021527,             0.00021527,             0.00021527
                    129,                0.56934,                0.53594,                 1.2098,                0.89222,                      1,                0.93281,                0.79904,                0.69958,                0.48594,                 1.5322,             0.00021134,             0.00021134,             0.00021134
                    130,                0.53924,                0.51921,                 1.1634,                0.88979,                      1,                0.93281,                0.78864,                0.69007,                0.48045,                 1.5286,             0.00020742,             0.00020742,             0.00020742
                    131,                 0.5718,                0.55771,                 1.1884,                 0.8789,                      1,                0.93281,                0.79407,                 0.6826,                0.50813,                 1.5083,             0.00020349,             0.00020349,             0.00020349
                    132,                 0.5374,                0.52713,                 1.1466,                 0.8846,                      1,                0.93281,                 0.8005,                 0.6729,                0.50184,                 1.4977,             0.00019956,             0.00019956,             0.00019956
                    133,                0.55967,                0.56003,                 1.1776,                0.88884,                      1,                0.93281,                0.80359,                0.67651,                 0.4812,                 1.5019,             0.00019564,             0.00019564,             0.00019564
                    134,                0.54046,                0.50987,                 1.1668,                0.88815,                      1,                0.93281,                0.80359,                0.67856,                0.48242,                 1.5057,             0.00019171,             0.00019171,             0.00019171
                    135,                0.49884,                0.48987,                 1.1285,                0.89973,                      1,                0.93281,                0.82138,                0.68519,                0.47698,                 1.4906,             0.00018778,             0.00018778,             0.00018778
                    136,                0.52373,                0.50895,                 1.1222,                0.90545,                      1,                0.93281,                0.81255,                0.68473,                0.49178,                 1.4761,             0.00018385,             0.00018385,             0.00018385
                    137,                0.51536,                 0.5112,                 1.1514,                0.90603,                      1,                0.93281,                0.80406,                0.66724,                0.49421,                 1.4616,             0.00017993,             0.00017993,             0.00017993
